epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,5266.96,0.85279,0.94141,1.46436,0.8758,0.92362,0.92047,0.66863,0.6984,0.65249,1.30554,0.000363075,0.000363075,0.000363075
70,5575.06,0.83862,0.92493,1.44825,0.89704,0.91112,0.91877,0.67015,0.71291,0.61966,1.37061,0.000352076,0.000352076,0.000352076
71,5887.63,0.83416,0.91682,1.44943,0.82479,0.93135,0.8926,0.66966,0.69528,0.63734,1.32327,0.000341077,0.000341077,0.000341077
72,6192.13,0.83026,0.88979,1.43987,0.84607,0.91934,0.88271,0.61455,0.75102,0.71837,1.4116,0.000330078,0.000330078,0.000330078
73,6493.69,0.80407,0.89662,1.41742,0.74746,0.81022,0.86941,0.50312,0.94466,0.96033,1.65928,0.000319079,0.000319079,0.000319079
74,6792.51,0.80243,0.90069,1.43033,0.88611,0.83588,0.91486,0.5357,0.9373,0.84554,1.65425,0.00030808,0.00030808,0.00030808
75,7095.17,0.76753,0.83484,1.39597,0.87011,0.91112,0.91514,0.67689,0.6836,0.61632,1.31219,0.000297081,0.000297081,0.000297081
76,7400.72,0.79882,0.86551,1.42248,0.89202,0.90973,0.91248,0.69731,0.65845,0.59616,1.30175,0.000286083,0.000286083,0.000286083
77,7704.88,0.77111,0.83769,1.39435,0.89069,0.90174,0.91963,0.68517,0.70256,0.62724,1.31805,0.000275084,0.000275084,0.000275084
78,8010.55,0.80632,0.85245,1.41373,0.83938,0.88573,0.90778,0.66832,0.77657,0.66941,1.42417,0.000264085,0.000264085,0.000264085
79,8317.57,0.80601,0.86267,1.41491,0.85838,0.89549,0.87347,0.60001,0.74441,0.6939,1.41281,0.000253086,0.000253086,0.000253086
80,8622.53,0.79961,0.86864,1.42626,0.87283,0.925,0.91508,0.58914,0.81741,0.72946,1.48438,0.000242087,0.000242087,0.000242087
81,8928.59,0.77967,0.86124,1.39927,0.8893,0.9125,0.91104,0.63538,0.71163,0.64186,1.36696,0.000231088,0.000231088,0.000231088
82,9234.38,0.78664,0.84268,1.40626,0.88291,0.90139,0.91196,0.68761,0.64768,0.63139,1.28961,0.000220089,0.000220089,0.000220089
83,9538.56,0.73788,0.78086,1.36091,0.84234,0.9037,0.8951,0.6202,0.71735,0.64981,1.36597,0.00020909,0.00020909,0.00020909
84,9844.03,0.77685,0.81703,1.38659,0.85441,0.90853,0.89359,0.63506,0.68856,0.63968,1.33965,0.000198091,0.000198091,0.000198091
85,10149.3,0.78091,0.84023,1.40788,0.84875,0.89713,0.89183,0.68684,0.64194,0.59437,1.26695,0.000187092,0.000187092,0.000187092
86,10456,0.75303,0.81154,1.36851,0.86056,0.89078,0.91336,0.64201,0.75919,0.65957,1.44193,0.000176094,0.000176094,0.000176094
87,10761.8,0.6951,0.78084,1.34362,0.91356,0.9266,0.93814,0.70587,0.66438,0.58552,1.30237,0.000165095,0.000165095,0.000165095
88,11068.4,0.75373,0.8272,1.38713,0.85732,0.89723,0.89871,0.68877,0.62036,0.59543,1.24838,0.000154096,0.000154096,0.000154096
89,11373.2,0.74319,0.79301,1.37164,0.86545,0.90973,0.91857,0.70008,0.64669,0.57016,1.28127,0.000143097,0.000143097,0.000143097
90,11678.1,0.73674,0.78937,1.3711,0.90063,0.91351,0.92867,0.69226,0.66268,0.60133,1.29635,0.000132098,0.000132098,0.000132098
91,11979.9,0.5907,0.59375,1.23029,0.85862,0.89444,0.90458,0.67449,0.67541,0.62006,1.31644,0.000121099,0.000121099,0.000121099
92,12281.7,0.56559,0.57055,1.21533,0.85402,0.90973,0.88685,0.66705,0.63667,0.60443,1.2985,0.0001101,0.0001101,0.0001101
93,12608.6,0.5808,0.55925,1.20219,0.88277,0.89055,0.90834,0.69699,0.63682,0.60536,1.2874,9.91012e-05,9.91012e-05,9.91012e-05
94,12884.5,0.55569,0.5677,1.20193,0.86373,0.89413,0.89489,0.68164,0.63235,0.61678,1.26833,8.81023e-05,8.81023e-05,8.81023e-05
95,13160.1,0.54957,0.55596,1.19307,0.87833,0.90995,0.92124,0.7045,0.61882,0.5618,1.26219,7.71034e-05,7.71034e-05,7.71034e-05
96,13437,0.53871,0.54132,1.18279,0.8719,0.90462,0.90936,0.70275,0.62031,0.57244,1.26711,6.61045e-05,6.61045e-05,6.61045e-05
97,13713.9,0.53721,0.52833,1.19417,0.86977,0.90292,0.90998,0.70916,0.57223,0.55341,1.23275,5.51056e-05,5.51056e-05,5.51056e-05
98,13990.8,0.53396,0.51962,1.1724,0.87067,0.91471,0.9209,0.70836,0.59471,0.54714,1.24279,4.41067e-05,4.41067e-05,4.41067e-05
99,14265.6,0.51077,0.52102,1.15727,0.83268,0.92223,0.89386,0.69765,0.60616,0.58022,1.25731,3.31078e-05,3.31078e-05,3.31078e-05
100,14541.9,0.52147,0.53167,1.17299,0.84901,0.91746,0.89381,0.7013,0.59834,0.57684,1.25315,2.21089e-05,2.21089e-05,2.21089e-05
